Country,Code,LPI_Score,Customs,Infrastructure,International_Shipments,Logistics_Competence,Tracking_Tracing,Timeliness,Year
Solomon Islands,SLB,2.413215,2.371066,2.03099,2.4375,2.139955,2.389955,3.044317,2012
Mauritania,MRT,2.396732,2.333333,2.335859,2.517677,2.282155,2.282155,2.598114,2012
Papua New Guinea,PNG,2.375238,1.976471,2.203361,2.341177,2.179972,2.513305,3.013305,2012
Myanmar,MMR,2.36822,2.235294,2.099896,2.471082,2.422693,2.33936,2.58936,2012
Kyrgyz Republic,KGZ,2.353238,2.44522,2.489338,1.995221,2.245221,2.307721,2.68614,2012
Gabon,GAB,2.344965,2.0,2.0,2.4,2.4,2.2,3.0,2012
Moldova,MDA,2.330267,2.171876,2.441303,2.08,2.149451,2.435498,2.743191,2012
Guyana,GUY,2.327527,2.285417,2.149801,2.351389,2.329167,2.140278,2.668056,2012
Burkina Faso,BFA,2.32259,2.118603,2.4,2.333333,2.276698,2.133333,2.666667,2012
Afghanistan,AFG,2.297272,2.333617,2.003611,2.332182,2.162592,2.095155,2.795259,2012
Tajikistan,TJK,2.283679,2.434264,2.028388,2.331614,2.22055,2.129641,2.507453,2012
Libya,LBY,2.282752,2.080357,1.75,2.625,2.25,2.375,2.508929,2012
Angola,AGO,2.27602,2.333333,2.482869,2.25873,2.002635,2.001506,2.585969,2012
Rwanda,RWA,2.267065,2.1875,1.875,2.273623,2.057031,2.390365,2.763869,2012
Mongolia,MNG,2.25026,1.983333,2.216667,2.133333,1.883333,2.288889,2.992222,2012
Ethiopia,ETH,2.236854,2.028847,2.217391,2.347029,2.160491,2.102758,2.537377,2012
Lesotho,LSO,2.235958,2.0,2.125,2.125,2.420238,1.991667,2.731429,2012
"Congo, Dem. Rep.",ZAR,2.205073,2.100339,1.958053,2.234858,2.171679,2.35262,2.381492,2012
Cuba,CUB,2.196115,2.177049,2.084762,2.123218,2.214157,2.264098,2.308553,2012
Iraq,IRQ,2.159177,1.747495,1.915867,2.381332,2.193769,1.863025,2.771385,2012
Comoros,COM,2.140745,2.0,1.939394,1.810606,2.199495,2.199495,2.699495,2012
Eritrea,ERI,2.110199,1.78,1.833333,2.633333,2.033333,1.833333,2.433333,2012
Sudan,SDN,2.103464,2.136188,2.011188,1.934799,2.333333,1.888889,2.309799,2012
"Congo, Rep.",COG,2.084591,1.796825,1.272487,1.942328,2.153527,2.347972,2.903527,2012
Sierra Leone,SLE,2.079115,1.727273,2.50101,1.854545,1.984512,2.136027,2.348754,2012
Nepal,NPL,2.035439,2.195812,1.86963,1.85989,2.12009,1.950391,2.208121,2012
Chad,TCD,2.029731,1.857143,2.0,2.0,2.0,1.571429,2.714286,2012
Haiti,HTI,2.026325,1.783206,1.777778,1.943333,1.737636,2.149504,2.736027,2012
Djibouti,DJI,1.797835,1.718182,1.506643,1.765734,1.836286,1.725175,2.190326,2012
Burundi,BDI,1.60996,1.665079,1.679048,1.571429,1.428571,1.665079,1.665079,2012
Germany,DEU,4.121983,4.098098,4.323295,3.744272,4.122776,4.167922,4.360813,2014
Netherlands,NLD,4.047782,3.963995,4.229527,3.641035,4.127404,4.073242,4.336971,2014
Belgium,BEL,4.04466,3.801493,4.098801,3.797858,4.111112,4.112492,4.390126,2014
United Kingdom,GBR,4.014649,3.938881,4.158261,3.629658,4.028607,4.084338,4.328614,2014
Singapore,SGP,4.004448,4.007115,4.278593,3.703168,3.966698,3.904885,4.249636,2014
Sweden,SWE,3.961349,3.75,4.09375,3.75625,3.98125,3.975,4.258333,2014
Norway,NOR,3.958243,4.20779,4.191941,3.422711,4.191941,3.499634,4.358583,2014
Luxembourg,LUX,3.946726,3.818182,3.909091,3.818182,3.783471,3.683471,4.705877,2014
United States,USA,3.917825,3.728529,4.184653,3.44804,3.970199,4.137596,4.136495,2014
Japan,JPN,3.914618,3.781139,4.155425,3.518439,3.931567,3.95238,4.23948,2014
Ireland,IRL,3.868014,3.8,3.84,3.44,3.943467,4.125285,4.125285,2014
Canada,CAN,3.855498,3.608017,4.054256,3.464442,3.940668,3.968199,4.177313,2014
France,FRA,3.847305,3.647901,3.982774,3.682113,3.754644,3.886686,4.174037,2014
Switzerland,CHE,3.843969,3.919063,4.043594,3.577044,3.7514,3.786981,4.058712,2014
"Hong Kong SAR, China",HKG,3.826763,3.724201,3.971997,3.579754,3.808917,3.871446,4.061154,2014
Australia,AUS,3.810776,3.853854,3.99996,3.518525,3.748209,3.814925,4.002407,2014
Denmark,DNK,3.78252,3.789988,3.816178,3.649512,3.741392,3.356776,4.385104,2014
Spain,ESP,3.718636,3.62747,3.773806,3.505149,3.830432,3.544628,4.074288,2014
Taiwan,TWN,3.717205,3.548041,3.63642,3.706744,3.595053,3.791858,4.023993,2014
Italy,ITA,3.691076,3.355694,3.775923,3.538153,3.62495,3.835361,4.04898,2014
"Korea, Rep.",KOR,3.666238,3.471572,3.791016,3.437586,3.663521,3.689169,3.995877,2014
Austria,AUT,3.648587,3.531243,3.63611,3.26111,3.558489,3.934276,4.03734,2014
New Zealand,NZL,3.643892,3.921443,3.671443,3.671443,3.555556,3.333333,3.723192,2014
Finland,FIN,3.623035,3.892006,3.518235,3.517647,3.722474,3.306622,3.799397,2014
Malaysia,MYS,3.590425,3.36772,3.558952,3.64433,3.465639,3.581918,3.91714,2014
Portugal,PRT,3.560284,3.263158,3.372114,3.42767,3.713122,3.713122,3.868503,2014
United Arab Emirates,ARE,3.539098,3.41979,3.703943,3.200965,3.497073,3.574286,3.915654,2014
China,CHN,3.531463,3.205138,3.669272,3.503218,3.460197,3.503259,3.866815,2014
Qatar,QAT,3.516657,3.206818,3.439141,3.550252,3.550252,3.469697,3.869697,2014
Turkey,TUR,3.500225,3.232654,3.533005,3.182316,3.640789,3.773236,3.684326,2014
Poland,POL,3.493829,3.25534,3.083333,3.456749,3.465008,3.543212,4.133248,2014
Czech Republic,CZE,3.492416,3.238095,3.28524,3.586281,3.514164,3.558245,3.734156,2014
Hungary,HUN,3.464438,2.970238,3.179665,3.401887,3.33491,3.823237,4.05913,2014
South Africa,ZAF,3.431244,3.107811,3.2,3.45,3.617883,3.302093,3.881041,2014
Thailand,THA,3.42958,3.20915,3.40451,3.295637,3.288935,3.451963,3.95624,2014
Latvia,LVA,3.402789,3.221575,3.029151,3.376299,3.209473,3.503125,4.059148,2014
Iceland,ISL,3.391863,3.538461,3.342209,3.153846,3.461539,3.384615,3.508876,2014
Slovenia,SVN,3.383272,3.113836,3.349875,3.049875,3.508563,3.508563,3.817306,2014
Estonia,EST,3.34592,3.395238,3.338095,3.338095,3.266667,3.195238,3.552381,2014
Romania,ROM,3.261155,2.832622,2.773306,3.322581,3.19678,3.390328,3.998976,2014
Israel,ISR,3.260446,3.101191,3.112302,2.712302,3.351191,3.198016,4.17619,2014
Chile,CHL,3.255786,3.172736,3.172441,3.12169,3.194292,3.302573,3.591146,2014
Slovak Republic,SVK,3.254533,2.888889,3.218518,3.301764,3.158906,3.016049,3.942416,2014
Greece,GRC,3.201602,3.360818,3.166275,2.970246,3.227133,3.027133,3.504077,2014
Panama,PAN,3.193734,3.149714,2.995915,3.183415,2.865686,3.336275,3.630392,2014
Lithuania,LTU,3.178416,3.044675,3.184799,3.098107,2.992647,3.173407,3.601811,2014
Bulgaria,BGR,3.157151,2.75,2.9375,3.3125,3.0,2.875,4.037054,2014
Vietnam,VNM,3.154763,2.809177,3.112863,3.217391,3.092069,3.192069,3.490345,2014
Saudi Arabia,SAU,3.148437,2.85644,3.34218,2.93211,3.112258,3.149334,3.554646,2014
Mexico,MEX,3.128319,2.688755,3.036238,3.192201,3.118379,3.142673,3.570401,2014
Malta,MLT,3.106275,3.0,3.076923,3.230769,3.0,3.153846,3.153846,2014
Bahrain,BHR,3.083116,3.29,3.04,3.04,3.04,3.29,2.8,2014
Indonesia,IDN,3.081806,2.869565,2.918715,2.873931,3.209638,3.107969,3.529022,2014
India,IND,3.080137,2.717276,2.877227,3.198278,3.029319,3.109802,3.510833,2014
Croatia,HRV,3.052949,2.947368,2.922822,2.978378,3.0,3.105263,3.368421,2014
Kuwait,KWT,3.0113,2.694661,3.159088,2.759088,2.956508,3.159088,3.394986,2014
Philippines,PHL,3.003844,3.0,2.6,3.333333,2.933333,3.0,3.066667,2014
Cyprus,CYP,3.000577,2.877876,2.871428,3.014286,2.923077,3.0,3.307692,2014
Oman,OMN,2.995026,2.634615,2.884615,3.409091,2.837413,2.837413,3.291958,2014
Argentina,ARG,2.986475,2.546248,2.831158,2.957428,2.930554,3.150335,3.492036,2014
Ukraine,UKR,2.976444,2.690782,2.649754,2.947146,2.840639,3.19982,3.509188,2014
"Egypt, Arab Rep.",EGY,2.965911,2.852413,2.86127,2.866667,2.990973,3.232103,2.992103,2014
Serbia,SRB,2.962556,2.370655,2.725668,3.119549,3.018467,2.935312,3.552764,2014
El Salvador,SLV,2.960467,2.932304,2.633917,3.198111,3.163062,2.999949,2.753175,2014
Brazil,BRA,2.943951,2.481013,2.927419,2.80475,3.050503,3.027022,3.387455,2014
"Bahamas, The",BHS,2.910966,3.001736,2.740867,2.958333,2.915029,2.642302,3.19439,2014
Montenegro,MNE,2.87552,2.832234,2.839561,3.147253,2.454945,2.762637,3.187985,2014
Jordan,JOR,2.873924,2.596212,2.590152,2.955682,2.939394,2.666667,3.459975,2014
Dominican Republic,DOM,2.860551,2.584387,2.610672,2.928854,2.91166,2.91166,3.178105,2014
Jamaica,JAM,2.842494,2.877505,2.842107,2.785068,2.71574,2.71574,3.140595,2014
Peru,PER,2.840685,2.46875,2.720363,2.9375,2.78125,2.8125,3.298387,2014
Pakistan,PAK,2.825426,2.842105,2.669871,3.081636,2.787518,2.728695,2.787518,2014
Malawi,MWI,2.813029,2.785714,3.042141,2.625474,2.86146,2.630691,2.989155,2014
Kenya,KEN,2.812079,1.957639,2.402778,3.152778,2.652778,3.027778,3.579861,2014
Nigeria,NGA,2.808778,2.348629,2.559328,2.627793,2.702476,3.156793,3.464486,2014
"Venezuela, RB",VEN,2.808111,2.391304,2.605082,2.938415,2.763729,2.921623,3.184781,2014
Guatemala,GTM,2.797453,2.75,2.535714,2.869048,2.683148,2.683148,3.239358,2014
Paraguay,PRY,2.779734,2.493614,2.4553,2.82567,2.755886,2.893564,3.216688,2014
Côte d'Ivoire,CIV,2.761981,2.33324,2.40873,2.87072,2.623745,2.972635,3.31321,2014
Rwanda,RWA,2.759116,2.5,2.32197,2.776515,2.639394,2.939394,3.339394,2014
Bosnia and Herzegovina,BIH,2.747618,2.408796,2.554351,2.779526,2.732867,2.551049,3.443667,2014
Maldives,MDV,2.747544,2.952863,2.56214,2.919283,2.791667,2.701199,2.51148,2014
Cambodia,KHM,2.741407,2.666667,2.583333,2.833333,2.666667,2.916667,2.75,2014
Sco Tomi and Principe,STP,2.733896,2.416667,2.58649,2.950126,2.495581,3.131944,2.768308,2014
Lebanon,LBN,2.725805,2.294444,2.527778,2.527778,2.888889,3.222222,2.888889,2014
Ecuador,ECU,2.710986,2.487281,2.497314,2.791451,2.612717,2.67279,3.177934,2014
Costa Rica,CRI,2.700719,2.389128,2.432331,2.632331,2.861821,2.82807,3.038596,2014
Kazakhstan,KAZ,2.69942,2.326113,2.383023,2.676066,2.716356,2.832671,3.235119,2014
Sri Lanka,LKA,2.695239,2.5625,2.23151,2.564844,2.905308,2.76245,3.119593,2014
Russian Federation,RUS,2.694479,2.2,2.589942,2.640805,2.739834,2.851405,3.137022,2014
Uruguay,URY,2.678649,2.388889,2.511075,2.638753,2.576253,2.888753,3.05984,2014
Armenia,ARM,2.672723,2.625,2.375,2.75,2.75,2.5,3.0,2014
Namibia,NAM,2.657883,2.272727,2.570793,2.695793,2.687787,2.559429,3.146642,2014
Moldova,MDA,2.653311,2.461539,2.554241,3.137574,2.444986,2.354615,2.887574,2014
Nicaragua,NIC,2.653283,2.663827,2.202562,2.694146,2.580249,2.576957,3.165664,2014
Algeria,DZA,2.649451,2.714286,2.540816,2.540816,2.540816,2.540816,3.040816,2014
Colombia,COL,2.639637,2.587416,2.442362,2.717677,2.640476,2.54872,2.87381,2014
Burkina Faso,BFA,2.6383,2.5,2.348214,2.633929,2.633929,2.491071,3.205357,2014
Belarus,BLR,2.638168,2.500757,2.554074,2.744159,2.462317,2.506762,3.047282,2014
Ghana,GHA,2.626934,2.216488,2.669054,2.727273,2.371832,2.903635,2.860047,2014
Senegal,SEN,2.62217,2.611111,2.3,3.025,2.525,2.65,2.525,2014
Liberia,LBR,2.62,2.571429,2.571429,2.571429,2.857143,2.571429,2.571429,2014
Honduras,HND,2.607427,2.695652,2.242481,2.787936,2.469754,2.606118,2.787936,2014
Ethiopia,ETH,2.593625,2.420833,2.166667,2.5,2.620833,2.666667,3.166667,2014
Nepal,NPL,2.587906,2.3125,2.261434,2.637305,2.5,2.72354,3.056873,2014
Solomon Islands,SLB,2.587528,2.492677,2.463384,2.219697,2.717172,2.717172,2.963384,2014
Burundi,BDI,2.565735,2.6,2.4,2.6,2.51,2.51,2.76,2014
Bangladesh,BGD,2.56334,2.090909,2.114545,2.818182,2.636364,2.454545,3.18,2014
Benin,BEN,2.560822,2.643939,2.351515,2.689394,2.351515,2.451515,2.851515,2014
Tunisia,TUN,2.550996,2.015987,2.299082,2.909091,2.422016,2.422016,3.159045,2014
Fiji,FJI,2.545003,2.4,2.47,2.72,2.22,2.47,2.97,2014
Angola,AGO,2.54298,2.368421,2.105263,2.789474,2.311173,2.58895,3.023951,2014
Chad,TCD,2.52968,2.462963,2.333333,2.333333,2.337963,2.712963,3.023148,2014
Tajikistan,TJK,2.527419,2.352212,2.364091,2.727727,2.468479,2.468479,2.737212,2014
Mauritius,MUS,2.514919,2.25,2.5,2.625,2.483259,2.340402,2.875,2014
Georgia,GEO,2.507491,2.210526,2.421053,2.315789,2.439782,2.593311,3.093311,2014
"Macedonia, FYR",MKD,2.499137,2.351616,2.498898,2.382099,2.51444,2.462059,2.807487,2014
Libya,LBY,2.496979,2.411765,2.294118,2.294118,2.294118,2.854455,2.854455,2014
Mali,MLI,2.495227,2.083333,2.202778,2.802778,2.202778,2.702778,2.902778,2014
Botswana,BWA,2.492775,2.384615,2.233136,2.417752,2.577192,2.395374,2.940828,2014
Bolivia,BOL,2.480758,2.397991,2.171007,2.34652,2.67849,2.67849,2.596118,2014
Guinea,GIN,2.464191,2.340447,2.097318,2.470588,2.347318,2.409818,3.097318,2014
Zambia,ZMB,2.462674,2.539209,2.310606,2.128788,2.467993,2.467993,2.912626,2014
Guyana,GUY,2.459132,2.457584,2.395066,2.429117,2.270294,2.470294,2.742693,2014
Azerbaijan,AZE,2.448376,2.571429,2.714286,2.571429,2.142857,2.142857,2.571429,2014
Papua New Guinea,PNG,2.430098,2.4,2.227937,2.466667,2.466667,2.266667,2.733333,2014
Guinea-Bissau,GNB,2.426464,2.428571,2.285714,2.285714,2.571429,2.285714,2.714286,2014
Comoros,COM,2.402136,2.579085,2.3,2.511111,2.260294,2.371569,2.371569,2014
Uzbekistan,UZB,2.39477,1.8,2.011111,2.225397,2.368254,2.866667,3.08254,2014
Niger,NER,2.393399,2.485543,2.079882,2.384615,2.276874,2.360207,2.758271,2014
Lao PDR,LAO,2.389703,2.445139,2.20625,2.503704,2.308951,2.197839,2.651358,2014
Madagascar,MDG,2.382349,2.056818,2.147727,2.381313,2.329545,2.290404,3.074495,2014
Lesotho,LSO,2.372849,2.222222,2.350309,2.475309,2.225309,2.350309,2.600309,2014
Central African Republic,CAF,2.360932,2.470238,2.497619,2.160714,2.307936,2.307936,2.474603,2014
Mongolia,MNG,2.355608,2.2,2.287051,2.620385,2.334969,2.129516,2.514131,2014
Equatorial Guinea,GNQ,2.354636,2.347222,2.111111,2.111111,2.199074,2.527778,2.861111,2014
Zimbabwe,ZWE,2.33928,1.888889,2.248457,2.248457,2.498457,2.220293,2.934579,2014
Tanzania,TZA,2.330834,2.1875,2.317448,2.317448,2.178621,2.107193,2.892907,2014
Togo,TGO,2.31846,2.090909,2.072934,2.472934,2.139669,2.488866,2.599977,2014
Turkmenistan,TKM,2.30495,2.314429,2.064429,2.555556,2.072016,2.322016,2.447016,2014
Iraq,IRQ,2.29784,1.980646,2.184437,2.30889,2.145176,2.311813,2.851242,2014
Cameroon,CMR,2.296616,1.857143,1.853742,2.195748,2.520408,2.520408,2.795748,2014
Bhutan,BTN,2.29013,2.090909,2.182645,2.382645,2.482645,2.282645,2.282645,2014
Haiti,HTI,2.269601,2.25,1.998047,2.267174,2.144756,2.315823,2.626167,2014
Myanmar,MMR,2.249909,1.968452,2.142857,2.141941,2.071429,2.357143,2.834249,2014
"Gambia, The",GMB,2.249081,2.058025,2.0,2.666667,2.222222,2.0,2.458025,2014
Mozambique,MOZ,2.228925,2.261218,2.153846,2.076923,2.102127,2.076923,2.73718,2014
Mauritania,MRT,2.228909,1.925,2.4,2.066667,2.058333,2.225,2.75,2014
Kyrgyz Republic,KGZ,2.209336,2.031776,2.045971,2.433333,2.131777,2.199817,2.361905,2014
Gabon,GAB,2.202899,2.0,2.083333,2.583333,2.25,1.916667,2.308838,2014
"Yemen, Rep.",YEM,2.18395,1.625,1.87407,2.350446,2.207403,2.207589,2.779018,2014
Cuba,CUB,2.179734,2.170939,1.842105,2.473684,2.084128,1.988851,2.448222,2014
Sudan,SDN,2.160954,1.866542,1.897661,2.230994,2.180369,2.415663,2.33009,2014
Djibouti,DJI,2.149867,2.2,2.0,1.8,2.213333,2.0,2.742111,2014
Syrian Arab Republic,SYR,2.090922,2.071006,2.076923,2.154339,1.821006,1.904339,2.525049,2014
Eritrea,ERI,2.084755,1.898889,1.676667,1.9,2.232222,2.01,2.787778,2014
"Congo, Rep.",COG,2.077149,1.5,1.833333,2.166667,2.166667,2.166667,2.583333,2014
Afghanistan,AFG,2.069573,2.163453,1.818951,1.986686,2.119709,1.847776,2.482138,2014
"Congo, Dem. Rep.",ZAR,1.878857,1.77743,1.834573,1.704951,1.837745,2.104412,2.037745,2014
Somalia,SOM,1.773126,2.0,1.5,1.75,1.75,1.75,1.875,2014
Germany,DEU,4.201444,4.092256,4.374447,3.858998,4.31065,4.239401,4.392114,2018
Sweden,SWE,4.052905,4.049361,4.239947,3.915837,3.976896,3.876315,4.284866,2018
Belgium,BEL,4.039084,3.663064,3.984249,3.994913,4.130972,4.051289,4.410293,2018
Austria,AUT,4.026005,3.714068,4.181584,3.87753,4.083611,4.087098,4.250803,2018
Japan,JPN,4.02565,3.99399,4.24824,3.591916,4.088451,4.049101,4.254069,2018
Netherlands,NLD,4.019269,3.917559,4.207611,3.682287,4.087875,4.024758,4.253336,2018
Singapore,SGP,3.996119,3.887082,4.063787,3.580094,4.099996,4.080114,4.319944,2018
Denmark,DNK,3.991859,3.918058,3.95873,3.530159,4.007843,4.176078,4.407843,2018
United Kingdom,GBR,3.987057,3.772005,4.032786,3.672469,4.04983,4.107993,4.329937,2018
Finland,FIN,3.969148,3.815046,4.003472,3.562732,3.887269,4.323166,4.279861,2018
United Arab Emirates,ARE,3.956437,3.631403,4.021292,3.84737,3.919378,3.960279,4.376292,2018
"Hong Kong SAR, China",HKG,3.920067,3.814775,3.969004,3.768129,3.931662,3.918231,4.139137,2018
Switzerland,CHE,3.901372,3.629262,4.021835,3.514933,3.966859,4.096271,4.24183,2018
United States,USA,3.885129,3.775142,4.045132,3.506325,3.874253,4.091751,4.083623,2018
New Zealand,NZL,3.875644,3.708625,3.990676,3.428905,4.016317,3.916317,4.255307,2018
France,FRA,3.844475,3.589643,3.99688,3.545295,3.838338,3.999365,4.152037,2018
Spain,ESP,3.831336,3.620888,3.83987,3.82952,3.800271,3.834502,4.063369,2018
Australia,AUS,3.751431,3.867186,3.968431,3.247206,3.709445,3.816621,3.976111,2018
Italy,ITA,3.739152,3.472044,3.852904,3.512059,3.655042,3.854946,4.126595,2018
Canada,CAN,3.726715,3.60393,3.750496,3.381662,3.89804,3.809804,3.960503,2018
Norway,NOR,3.696623,3.52,3.691019,3.429029,3.688636,3.944192,3.942627,2018
Czech Republic,CZE,3.68033,3.286673,3.4646,3.746009,3.715632,3.703427,4.13362,2018
Portugal,PRT,3.643184,3.17135,3.247268,3.826492,3.705938,3.719307,4.125922,2018
Luxembourg,LUX,3.629998,3.527956,3.631442,3.371425,3.757625,3.61474,3.903863,2018
"Korea, Rep.",KOR,3.612164,3.402588,3.725528,3.330246,3.587763,3.754119,3.919574,2018
China,CHN,3.605147,3.285924,3.753218,3.535715,3.594975,3.648469,3.840015,2018
"Taiwan, China",TWN,3.599722,3.474167,3.720193,3.476875,3.565054,3.670812,3.720617,2018
