experiment_id,method,init_name,target_department,n_support_pos,n_support_neg,inner_steps,status,gold_auroc_mean,gold_auroc_std,gold_ap_mean,gold_ap_std,gold_logloss_mean,gold_logloss_std,gold_brier_mean,gold_brier_std,gold_ece_mean,gold_ece_std,gold_f1_mean,gold_f1_std,gold_accuracy_mean,gold_accuracy_std,gold_pred_mean_mean,gold_pred_mean_std,gold_true_mean_mean,gold_true_mean_std,n_eval_rows_mean,n_eval_rows_std,n_positive_mean,n_positive_std,precision_at_5_mean,precision_at_5_std,recall_at_5_mean,recall_at_5_std,ndcg_at_5_mean,ndcg_at_5_std,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,ndcg_at_10_mean,ndcg_at_10_std,precision_at_20_mean,precision_at_20_std,recall_at_20_mean,recall_at_20_std,ndcg_at_20_mean,ndcg_at_20_std,n_metric_rows,n_predictions,n_episodes_diagnosed,collapse_rate,pred_mean_mean,pred_std_mean,frac_near_zero_mean,frac_near_one_mean,was_skipped,inner_lr,meta_batch_size
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-1__target-Logistics,anil,A_weak_only,Logistics,2,2,1,success,0.4142415146393279,0.1733647439131936,0.6782824238792157,0.1351846739010196,0.8809517626131165,0.2425804452994756,0.3269602879186399,0.0974709435357477,0.3470814976974092,0.1309906695899417,0.4838773000367323,0.2566455557799773,0.4552356663113669,0.151779029315458,0.4995070650356858,0.1726007810593167,0.6980093695973341,0.0802917532046381,41.05,5.962172422867356,28.45,4.165033013074447,0.63,0.298496231131986,0.111816106451811,0.0595066424149225,0.6168271430891566,0.3054642543159724,0.5650000000000001,0.2779838124783528,0.2027954612755784,0.1126133877423087,0.5750583959876097,0.2866279457870099,0.625,0.1382931668593933,0.4503727870737967,0.1350099467976465,0.6133232387432903,0.1766875959812458,20,821,20,0.0,0.4995070606470108,0.1118890298530459,0.0,0.002,False,0.01,4
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-3__target-Logistics,anil,A_weak_only,Logistics,2,2,3,success,0.5205383338471303,0.2021762497103807,0.7231255573627404,0.1614118202587441,0.8565336518997281,0.2191571320850945,0.3171928566560854,0.0917043103667011,0.3372303945179754,0.1417412017538742,0.4837438859586169,0.2785247868818995,0.467104095127311,0.1624278120285871,0.504029549460434,0.1835213079699698,0.6980093695973341,0.0802917532046381,41.05,5.962172422867356,28.45,4.165033013074447,0.6500000000000001,0.33391615714128,0.1140024986886064,0.0634734894170135,0.6584790051318404,0.3407001522430385,0.635,0.3409912022325503,0.2251945317286718,0.134957029460364,0.6433591647039131,0.3413918185471322,0.6774999999999999,0.1778166190208328,0.4877185964776821,0.1572056137260091,0.6701891629074928,0.2115615200747067,20,821,20,0.0,0.5040295481681824,0.0975835675373673,0.0,0.0,False,0.01,4
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-5__target-Logistics,anil,A_weak_only,Logistics,2,2,5,success,0.5418224906264986,0.2012325515330894,0.7324077674168323,0.1655952111134873,0.8545554859706707,0.2158974945107903,0.3163032996245335,0.0908036771988202,0.3335988865835237,0.1376687839478177,0.4759030682481998,0.2874117642921814,0.4659231682110899,0.1624146620990196,0.5040694282871022,0.1855900475679364,0.6980093695973341,0.0802917532046381,41.05,5.962172422867356,28.45,4.165033013074447,0.6500000000000001,0.33391615714128,0.1140024986886064,0.0634734894170135,0.6618749008764314,0.3422891951017164,0.635,0.3453621287865825,0.2251945317286718,0.1360381143311151,0.6474889691091805,0.3460183541376704,0.6849999999999999,0.1878163997099294,0.4931895410439983,0.1643056851655019,0.6788873816467598,0.2196264877722725,20,821,20,0.0,0.50406943410635,0.0977765876799821,0.0,0.0,False,0.01,4
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-1__target-Logistics,finetune,A_weak_only,Logistics,2,2,1,success,0.503264428182663,0.0331255186745396,0.7012613880353864,0.0856571550473884,8.111464322521439,4.265014208911133,0.4617093536503899,0.208937749246085,0.4670581836706152,0.2043897336698992,0.4221645512524844,0.4234776001817801,0.5386809219198476,0.2102331374229927,0.479793702760364,0.4842863987898596,0.6980093695973341,0.0802917532046381,41.05,5.962172422867356,28.45,4.165033013074447,0.6499999999999999,0.3456877203488721,0.1129069925455227,0.0592758010741488,0.6861982108318125,0.1423489542216765,0.6749999999999999,0.3284432979982998,0.236294572013603,0.1188150351822694,0.6988845347980265,0.1137788807544866,0.755,0.1672572868367773,0.535719648394175,0.1263996262383281,0.6960441119924242,0.0877341089743687,20,821,20,0.9,0.4797937154770425,0.0279143201554104,0.5056914893617022,0.4462796882731321,False,0.01,4
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-3__target-Logistics,finetune,A_weak_only,Logistics,2,2,3,success,0.503264428182663,0.0331255186745396,0.7012613880353864,0.0856571550473884,8.111464322521439,4.265014208911133,0.4617093536503899,0.208937749246085,0.4670581836706152,0.2043897336698992,0.4221645512524844,0.4234776001817801,0.5386809219198476,0.2102331374229927,0.479793702760364,0.4842863987898596,0.6980093695973341,0.0802917532046381,41.05,5.962172422867356,28.45,4.165033013074447,0.6499999999999999,0.3456877203488721,0.1129069925455227,0.0592758010741488,0.6861982108318125,0.1423489542216765,0.6749999999999999,0.3284432979982998,0.236294572013603,0.1188150351822694,0.6988845347980265,0.1137788807544866,0.755,0.1672572868367773,0.535719648394175,0.1263996262383281,0.6960441119924242,0.0877341089743687,20,821,20,0.9,0.4797937154770425,0.0279143201554104,0.5056914893617022,0.4462796882731321,False,0.01,4
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-5__target-Logistics,finetune,A_weak_only,Logistics,2,2,5,success,0.503264428182663,0.0331255186745396,0.7012613880353864,0.0856571550473884,8.111464322521439,4.265014208911133,0.4617093536503899,0.208937749246085,0.4670581836706152,0.2043897336698992,0.4221645512524844,0.4234776001817801,0.5386809219198476,0.2102331374229927,0.479793702760364,0.4842863987898596,0.6980093695973341,0.0802917532046381,41.05,5.962172422867356,28.45,4.165033013074447,0.6499999999999999,0.3456877203488721,0.1129069925455227,0.0592758010741488,0.6861982108318125,0.1423489542216765,0.6749999999999999,0.3284432979982998,0.236294572013603,0.1188150351822694,0.6988845347980265,0.1137788807544866,0.755,0.1672572868367773,0.535719648394175,0.1263996262383281,0.6960441119924242,0.0877341089743687,20,821,20,0.9,0.4797937154770425,0.0279143201554104,0.5056914893617022,0.4462796882731321,False,0.01,4
stage2__init-A_weak_only__method-fomaml__kpos-2__kneg-2__steps-1__target-Logistics,fomaml,A_weak_only,Logistics,2,2,1,success,0.4777253775732236,0.0906328680200252,0.6926507935697718,0.0936170028679735,1.1693020023825855,1.48437653486541,0.2942899597259382,0.1608370633931326,0.2194874421394429,0.204393891498877,0.7303013462522986,0.248764008358714,0.6400728616608261,0.1570780865985709,0.4796832139006698,0.1608164439515652,0.6980093695973341,0.0802917532046381,41.05,5.962172422867356,28.45,4.165033013074447,0.67,0.3241913015489466,0.1178063452835852,0.0582826768351401,0.687708311374763,0.1266472390186081,0.655,0.3122098653149833,0.2327153289928071,0.1164168697203009,0.6724272199652929,0.138465227353519,0.76,0.1764936259472279,0.5390923038690189,0.1296715208829792,0.685694759756846,0.0977811526592293,20,821,20,1.0,0.4796831997402478,0.0025705856678541,0.1,0.0,False,0.01,4
stage2__init-A_weak_only__method-fomaml__kpos-2__kneg-2__steps-3__target-Logistics,fomaml,A_weak_only,Logistics,2,2,3,success,0.4899119730325473,0.0253623951957717,0.6931223481867691,0.0870786406316696,0.6443805249120211,0.0278536546848567,0.2258224128607309,0.0136928896837989,0.1226406558231289,0.0810348297167788,0.8194826328020062,0.0564480847822197,0.6980093695973341,0.0802917532046381,0.5955141343424093,0.0309346008309918,0.6980093695973341,0.0802917532046381,41.05,5.962172422867356,28.45,4.165033013074447,0.6599999999999999,0.3583294573433783,0.1141132235904635,0.0606086588198231,0.69242737489881,0.087381974034051,0.69,0.3223352292257239,0.2404507787282568,0.1118436402075223,0.6924273748988102,0.087381974034051,0.775,0.1833712082089225,0.5468171715938867,0.1237281147046005,0.69242737489881,0.087381974034051,20,821,20,1.0,0.5955141335725784,0.0026788031042087,0.0,0.0,False,0.01,4
stage2__init-A_weak_only__method-fomaml__kpos-2__kneg-2__steps-5__target-Logistics,fomaml,A_weak_only,Logistics,2,2,5,success,0.5025399127257044,0.0319299667128876,0.7007598061590171,0.0852181208606275,0.6393612284319609,0.0282924637024505,0.2233442410687073,0.0139758738562586,0.1146766531398212,0.0756411504113335,0.8194826328020062,0.0564480847822197,0.6980093695973341,0.0802917532046381,0.5969081562444608,0.0152364866236355,0.6980093695973341,0.0802917532046381,41.05,5.962172422867356,28.45,4.165033013074447,0.69,0.337490740613724,0.1203841266004969,0.0580514638921845,0.7332794210159926,0.0929995963386802,0.715,0.315079355083763,0.2510695078252468,0.1139895353324555,0.7187429999166546,0.0863627629148378,0.7825,0.1811594601449231,0.5523778146545297,0.1221243821939836,0.709214087166252,0.0846762091381895,20,821,20,1.0,0.5969081580638885,0.0021521736241993,0.0,0.0,False,0.01,4
stage2__init-A_weak_only__method-maml__kpos-2__kneg-2__steps-1__target-Logistics,maml,A_weak_only,Logistics,2,2,1,success,0.4676073790284887,0.193760720348112,0.7184054297245603,0.1139177581151903,2.412279780458557,2.587686735474711,0.3722587380671066,0.1885244691068824,0.3502597686533724,0.2145481391426058,0.6042299176808701,0.3518421558138109,0.568710735414979,0.2023198233484324,0.6412133763977833,0.3561418977585552,0.6980093695973341,0.0802917532046381,41.05,5.962172422867356,28.45,4.165033013074447,0.7300000000000001,0.2389560629069704,0.130703030221031,0.0471416883057368,0.763548214176632,0.1578114097161377,0.6849999999999999,0.2495495942693556,0.2446114140718082,0.0951897681226538,0.7115664680386722,0.1625742274765906,0.6950000000000001,0.1802082129094009,0.4939969074613339,0.1363308703735299,0.6950988192232459,0.1351790864846005,20,821,20,0.8,0.6412133595917112,0.0077854328432181,0.15,0.3475,False,0.01,4
stage2__init-A_weak_only__method-maml__kpos-2__kneg-2__steps-3__target-Logistics,maml,A_weak_only,Logistics,2,2,3,success,0.4107143908352316,0.1657652494565737,0.700360881375341,0.115548747220551,1.4046348534896036,1.7356089702852977,0.3471986701171154,0.1377101672245935,0.3200836943576534,0.2051940498837824,0.4654543096637242,0.3635441733768388,0.4808593683397635,0.1949779695381531,0.4724174674439204,0.2620171528128068,0.6980093695973341,0.0802917532046381,41.05,5.962172422867356,28.45,4.165033013074447,0.7400000000000001,0.1907878402833891,0.1324279672112668,0.0357568605445483,0.7846285443889343,0.1496460318482874,0.625,0.2070627924084865,0.2182054579758564,0.0543148381272117,0.6864734302851956,0.1670002086749579,0.6625,0.1603706643996962,0.4654771001095923,0.0841927084424134,0.691402672821022,0.1429681354676702,20,821,20,0.35,0.4724174602637731,0.0197998497937845,0.0935897435897435,0.05,False,0.01,4
stage2__init-A_weak_only__method-maml__kpos-2__kneg-2__steps-5__target-Logistics,maml,A_weak_only,Logistics,2,2,5,success,0.5438998796345756,0.1482099331942354,0.7310497963016506,0.1127251742523503,1.3680800435425735,1.3820445961135102,0.3541615392154566,0.192375367612624,0.3120678016357363,0.230939717487624,0.4957230473429505,0.4067774708623028,0.5506658133309055,0.2075751705780968,0.4326616544045641,0.2666259364653044,0.6980093695973341,0.0802917532046381,41.05,5.962172422867356,28.45,4.165033013074447,0.68,0.2561249694973139,0.1209006207486531,0.0468185184326881,0.6920497990479818,0.2429174025488236,0.6900000000000001,0.2364318083507378,0.2482332598081607,0.0901546267179518,0.6779951356476788,0.2119926081932733,0.7525,0.1382705680902483,0.5374480950514849,0.1114058772368253,0.7229892703357039,0.1468579752487585,20,821,20,0.95,0.4326616424310486,0.0040235330594441,0.15,0.0,False,0.01,4
stage2__init-A_weak_only__method-zero_shot__kpos-2__kneg-2__steps-1__target-Logistics,zero_shot,A_weak_only,Logistics,2,2,1,success,0.6337635296403165,0.1985046462887269,0.7927345648597525,0.1828080875236445,2.0602508923330203,0.2946066735654656,0.5320281859826075,0.0561684725463212,0.5854917943901207,0.0717803441673584,0.080128765787995,0.0596361566122984,0.3328875462273967,0.0711940241522532,0.1318363095935863,0.0391186827123307,0.6980093695973341,0.0802917532046381,41.05,5.962172422867356,28.45,4.165033013074447,0.75,0.3840572873934304,0.1311247503025976,0.0717371326547527,0.7671987306219146,0.3874367846077692,0.79,0.3064310689208913,0.2782896343844594,0.114910106509046,0.7887610667531434,0.3338085757277746,0.7424999999999999,0.2157979378956157,0.5240341422084471,0.1424378834814313,0.7577023817967156,0.2426912681720076,20,821,20,0.0,0.1318363044410944,0.1380706613883376,0.463720085135609,0.0,False,0.01,4
stage2__init-A_weak_only__method-zero_shot__kpos-2__kneg-2__steps-3__target-Logistics,zero_shot,A_weak_only,Logistics,2,2,3,success,0.6337635296403165,0.1985046462887269,0.7927345648597525,0.1828080875236445,2.0602508923330203,0.2946066735654656,0.5320281859826075,0.0561684725463212,0.5854917943901207,0.0717803441673584,0.080128765787995,0.0596361566122984,0.3328875462273967,0.0711940241522532,0.1318363095935863,0.0391186827123307,0.6980093695973341,0.0802917532046381,41.05,5.962172422867356,28.45,4.165033013074447,0.75,0.3840572873934304,0.1311247503025976,0.0717371326547527,0.7671987306219146,0.3874367846077692,0.79,0.3064310689208913,0.2782896343844594,0.114910106509046,0.7887610667531434,0.3338085757277746,0.7424999999999999,0.2157979378956157,0.5240341422084471,0.1424378834814313,0.7577023817967156,0.2426912681720076,20,821,20,0.0,0.1318363044410944,0.1380706613883376,0.463720085135609,0.0,False,0.01,4
stage2__init-A_weak_only__method-zero_shot__kpos-2__kneg-2__steps-5__target-Logistics,zero_shot,A_weak_only,Logistics,2,2,5,success,0.6337635296403165,0.1985046462887269,0.7927345648597525,0.1828080875236445,2.0602508923330203,0.2946066735654656,0.5320281859826075,0.0561684725463212,0.5854917943901207,0.0717803441673584,0.080128765787995,0.0596361566122984,0.3328875462273967,0.0711940241522532,0.1318363095935863,0.0391186827123307,0.6980093695973341,0.0802917532046381,41.05,5.962172422867356,28.45,4.165033013074447,0.75,0.3840572873934304,0.1311247503025976,0.0717371326547527,0.7671987306219146,0.3874367846077692,0.79,0.3064310689208913,0.2782896343844594,0.114910106509046,0.7887610667531434,0.3338085757277746,0.7424999999999999,0.2157979378956157,0.5240341422084471,0.1424378834814313,0.7577023817967156,0.2426912681720076,20,821,20,0.0,0.1318363044410944,0.1380706613883376,0.463720085135609,0.0,False,0.01,4
