target_department,candidate_bucket,contract_id,contract_number,contract_name,supplier_id,supplier_display_name,department,renegotiation_prob,contract_age_years,payment_terms,incoterms,contract_value_dkk
Drug Substance Outsourcing,likely_yes_high_score,282,283,Vistin (Weifa)_Master_20051228_SA,13025,VISTIN PHARMA AS,Drug Substance Outsourcing,0.9999999999919228,19,F060 Invoice Date + 60 days,CIP Carriage and insurance paid,
Drug Substance Outsourcing,likely_yes_high_score,1616,1616,Dalton_Call-off_20180327_WO_10_Biovectra,9991,DALTON CHEMICAL LABORATORIES INC.,Drug Substance Outsourcing,0.9999999999909776,7,F030 Invoice Date + 30 days,DDP Delivered duty paid,6082209.0
Drug Substance Outsourcing,likely_yes_high_score,375,375,CBB_Master_20150527_SA_CNS-enzyme,14132,CENTER FOR BIOCATALYSIS AND BIOPROCESSING,Drug Substance Outsourcing,0.9999999999909776,10,F030 Invoice Date + 30 days,DAP Del.at Place-excl.unloading,8134812.0
Drug Substance Outsourcing,likely_yes_high_score,166,166,Alsiano_Stand alone_2014_BTA,1092,ALSIANO A/S,Drug Substance Outsourcing,0.9999999999909776,11,,,
Drug Substance Outsourcing,likely_yes_high_score,1610,1610,Dalton_Master_20150611_OA,9991,DALTON CHEMICAL LABORATORIES INC.,Drug Substance Outsourcing,0.9999999999909776,10,F030 Invoice Date + 30 days,DAP Del.at Place-excl.unloading,2707998.3
Drug Substance Outsourcing,likely_yes_high_score,205,205,Hovione_Master_20171006_OA,12086,HOVIONE FARMACIENCIA SA,Drug Substance Outsourcing,0.9999999999909776,7,F060 Invoice Date + 60 days,FCA Free carrier,104300000.0
Drug Substance Outsourcing,likely_yes_high_score,148,144,Millmount Healthcare (PCI)_Master_20180619_OA,9535,MILLMOUNT HEALTHCARE LIMITED (PCI),Drug Substance Outsourcing,0.9999999999909776,7,F060 Invoice Date + 60 days,FCA Free carrier,81950000.0
Drug Substance Outsourcing,likely_yes_high_score,289,290,Sartorius Stedim Biotech GmbH_Stand alone_2018_BTA,9148,SARTORIUS-STEDIM BIOTECH GMBH,Drug Substance Outsourcing,0.9999999999898096,7,F045 Invoice Date + 45 days,FCA Free carrier,0.0
Drug Substance Outsourcing,likely_yes_high_score,1591,1591,Catalent Germany Schorndorf Gmbh_Master_20171001_OA,2786,CATALENT GERMANY SCHORNDORF GMBH CATALENT PHARMA SOLUTIONS,Drug Substance Outsourcing,0.9999999999864606,8,F045 Invoice Date + 45 days,FCA Free carrier,0.0
Drug Substance Outsourcing,likely_yes_high_score,8227,8228,Lonza_stand-alone_2015_BTA,13689,LONZA SALES LTD,Drug Substance Outsourcing,0.9999999999839052,10,,,0.0
Drug Substance Outsourcing,likely_no_low_score,519414,519009,AGC_WO15_2025_Nitrosamine risk assessment,15023,AGC BIOLOGICS A/S,Drug Substance Outsourcing,0.0499495908553134,0,F030 Invoice Date + 30 days,CPT Carriage paid,667944.65
Drug Substance Outsourcing,likely_no_low_score,312482,313711,Fujifilm_Call-off_2023_WO_53,10679,FUJIFILM DIOSYNTH BIOTECHNOLOGIES,Drug Substance Outsourcing,0.0660853271659702,2,F030 Invoice Date + 30 days,EXW Ex works,1256850.0
Drug Substance Outsourcing,likely_no_low_score,570164,569222,Fujifilm_Call-off_2025_SA_AA8_APP8_APP12,10679,FUJIFILM DIOSYNTH BIOTECHNOLOGIES,Drug Substance Outsourcing,0.0660853271659702,0,F030 Invoice Date + 30 days,DAP Del.at Place-excl.unloading,0.0
Drug Substance Outsourcing,likely_no_low_score,487064,486898,Fujifilm_Call-Off-2025_WO58_Stability report and storage charge for WCB & MCB,10679,FUJIFILM DIOSYNTH BIOTECHNOLOGIES,Drug Substance Outsourcing,0.0660853271659702,0,F030 Invoice Date + 30 days,EXW Ex works,939600.0
Drug Substance Outsourcing,likely_no_low_score,100770,100779,Fujifilm_Call-off_2021_SA_AA2_Incoterms,10679,FUJIFILM DIOSYNTH BIOTECHNOLOGIES,Drug Substance Outsourcing,0.0660853271659702,4,F030 Invoice Date + 30 days,DAP Del.at Place-excl.unloading,0.0
Drug Substance Outsourcing,likely_no_low_score,455025,455349,Fujifilm_Call-off_2024_WO_57_Reference_Standard,10679,FUJIFILM DIOSYNTH BIOTECHNOLOGIES,Drug Substance Outsourcing,0.0660853271659702,1,F030 Invoice Date + 30 days,EXW Ex works,1325250.0
Drug Substance Outsourcing,likely_no_low_score,428201,428933,Fujifilm_Call-off_2024_SA_AA7_APP8_APP12,10679,FUJIFILM DIOSYNTH BIOTECHNOLOGIES,Drug Substance Outsourcing,0.0660853271659702,1,F030 Invoice Date + 30 days,EXW Ex works,454005.0
Drug Substance Outsourcing,likely_no_low_score,524758,524258,Wuxi_Stand-alone_2025_CDA_Mutual_Etavopivat API_RFQ,201722,WUXI APPTEC (HONGKONG) LIMITED,Drug Substance Outsourcing,0.1548902671461686,0,,,0.0
Drug Substance Outsourcing,likely_no_low_score,520766,520350,Flamma_Call-Off_2025_WO31_PV & Manufacturing Campaign,10337,FLAMMA S.P.A.,Drug Substance Outsourcing,0.1565535404392345,0,F060 Invoice Date + 60 days,DAP Del.at Place-excl.unloading,11990775.0
Drug Substance Outsourcing,likely_no_low_score,575862,574828,FIS_Call-off_2025_WO25_1MT commercial production of PC3406 FiP at F.I.S. Lonigo,191654,F.I.S.- FABBRICA ITALIANA SITETICI,Drug Substance Outsourcing,0.1565535404392345,0,F060 Invoice Date + 60 days,DAP Del.at Place-excl.unloading,20958042.0
Drug Substance Outsourcing,uncertain_near_0_5,138699,138711,"TIANJIN TEHO STORAGE EQUIPMENT SALES CO.,LTD_Stand-alone_2021_C4F",31106,天津市泰和凌智仓储设备销售有限公司,Drug Substance Outsourcing,0.5,4,,,0.0
Drug Substance Outsourcing,uncertain_near_0_5,138690,138702,BJ FaMa High Tec.Ltd_Stand-alone_2021_C4F,149091,北京法玛高科技有限公司,Drug Substance Outsourcing,0.5,4,,,0.0
Drug Substance Outsourcing,uncertain_near_0_5,138657,138669,"Hope Biotech Co., Ltd_Stand-alone_2021_C4F",38294,天津厚普生物技术开发有限公司,Drug Substance Outsourcing,0.5,4,,,0.0
Drug Substance Outsourcing,uncertain_near_0_5,444292,444906,CBB WO#25 Resin Purchase,266718,DEVELOPMENTAL STUDIES HYBRIDOMA BAN UNIVERSITY OF IOWA,Drug Substance Outsourcing,0.4642805071617468,1,F030 Invoice Date + 30 days,DDP Delivered duty paid,115224.186
Drug Substance Outsourcing,uncertain_near_0_5,388750,389345,Wilmar OLEO NORTH AMERICA LLC_Master_2022_SA_DC18,252550,WILMAR OLEO NORTH AMERICA LLC,Drug Substance Outsourcing,0.4642805071617468,3,F090 Invoice Date + 90 days,DAP Del.at Place-excl.unloading,17690400.0
Drug Substance Outsourcing,uncertain_near_0_5,205610,205636,NCK_Master_2022_DHAA SA,5955,NIELS CLAUSON-KAAS A/S,Drug Substance Outsourcing,0.4642805071617468,3,F045 Invoice Date + 45 days,CPT Carriage paid,1750000.0
Drug Substance Outsourcing,uncertain_near_0_5,481877,481933,Thermo Fisher_Call-off_2024_CDA_Mutual_SMARt_RFQ_AA1,10193,THERMO FISHER SCIENTIFIC,Drug Substance Outsourcing,0.4642805071617468,1,F030 Invoice Date + 30 days,EXW Ex works,0.0
Drug Substance Outsourcing,uncertain_near_0_5,532988,532478,ThermoFisher_CDA_2025_Phosphoramidite Manufacturing,18185,THERMO FISHER SCIENTIFIC,Drug Substance Outsourcing,0.4642805071617468,0,F030 Invoice Date + 30 days,EXW Ex works,0.0
Drug Substance Outsourcing,uncertain_near_0_5,462767,462996,Evonik_Stand- alone_2024_WO#15_SNAC MeSA PV batch campaign,154926,EVONIK OPERATIONS GMBH,Drug Substance Outsourcing,0.4642805071617468,1,F060 Invoice Date + 60 days,CPT Carriage paid,46985400.0
Drug Substance Outsourcing,uncertain_near_0_5,595523,594233,Flamma_WO_32_2025_Stage 2 10-100 MT REACH registration for Fmoc-His-Aib-OH TFA_20251007,277325,FLAMMA S.P.A.,Drug Substance Outsourcing,0.4642805071617468,0,F045 Invoice Date + 45 days,DDP Delivered duty paid,937955.0
